image,score
DLgroup17img01.jpg,7.8125
DLgroup17img02.jpg,2.96875
DLgroup17img03.jpg,9.0625
DLgroup17img04.jpg,5.15625
DLgroup17img05.jpg,7.65625
DLgroup17img06.jpg,9.375
DLgroup17img07.jpg,4.21875
DLgroup17img08.jpg,8.125
DLgroup17img09.jpg,7.34375
DLgroup17img10.jpg,4.53125
DLgroup17img11.jpg,8.125
DLgroup17img12.jpg,7.8125
DLgroup17img13.jpg,3.4375
DLgroup17img14.jpg,9.21875
DLgroup17img15.jpg,7.5
DLgroup17img16.jpg,7.5
DLgroup17img17.jpg,9.84375
DLgroup17img18.jpg,5.9375
DLgroup17img19.jpg,8.75
DLgroup17img20.jpg,6.40625
DLgroup17img21.jpg,8.28125
DLgroup17img22.jpg,7.5
DLgroup17img23.jpg,8.4375
DLgroup17img24.jpg,7.96875
DLgroup17img25.jpg,6.875
