image,score
DLgroup17img01.jpg,6.890625
DLgroup17img02.jpg,5.206349206
DLgroup17img03.jpg,7.5
DLgroup17img04.jpg,5.84375
DLgroup17img05.jpg,6.703125
DLgroup17img06.jpg,7.46875
DLgroup17img07.jpg,5.333333333
DLgroup17img08.jpg,6.46031746
DLgroup17img09.jpg,6.365079365
DLgroup17img10.jpg,5.359375
DLgroup17img11.jpg,6.59375
DLgroup17img12.jpg,7.015873016
DLgroup17img13.jpg,5.21875
DLgroup17img14.jpg,7.21875
DLgroup17img15.jpg,6.375
DLgroup17img16.jpg,6.28125
DLgroup17img17.jpg,7.34375
DLgroup17img18.jpg,6.047619048
DLgroup17img19.jpg,7.46031746
DLgroup17img20.jpg,6.206349206
DLgroup17img21.jpg,6.80952381
DLgroup17img22.jpg,6.84375
DLgroup17img23.jpg,6.8125
DLgroup17img24.jpg,6.515625
DLgroup17img25.jpg,6.370967742
